"benchmark","N","target_contacts","rb_full_contacts","hp_energy","best_json","warm_start_json","fold_png","fold_pdf","command_relative","metadata","summary","source_best_json","source_qubo_json","source_png","status"
"20merA","20","9","9","-9","results/ground_folds/20merA/best_overall.json","","results/ground_folds/20merA/fold.png","results/ground_folds/20merA/fold.pdf","results/ground_folds/20merA/command_relative.txt","results/ground_folds/20merA/metadata.json","results/ground_folds/20merA/summary.csv","runs/20merA/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_4tr_20k/best_overall.json","runs/20merA/local/Final_run/fix7_pairwise_fresh_qubo/qubos/20merA_pairwise_L6_hp1p0.json","runs/20merA/local/20merA.png","available"
"20merB","20","10","10","-10","results/ground_folds/20merB/best_overall.json","","results/ground_folds/20merB/fold.png","results/ground_folds/20merB/fold.pdf","results/ground_folds/20merB/command_relative.txt","results/ground_folds/20merB/metadata.json","results/ground_folds/20merB/summary.csv","runs/20merB/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_16tr_50k/best_overall.json","runs/20merB/local/Final_run/fix7_pairwise_fresh_qubo/qubos/20merB_pairwise_L6_hp1p0.json","runs/20merB/local/20merB.png","available"
"24mer","24","9","9","-9","results/ground_folds/24mer/best_overall.json","","results/ground_folds/24mer/fold.png","results/ground_folds/24mer/fold.pdf","results/ground_folds/24mer/command_relative.txt","results/ground_folds/24mer/metadata.json","results/ground_folds/24mer/summary.csv","runs/24mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_24tr_60k/best_overall.json","runs/24mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/24mer_pairwise_L6_hp1p0.json","runs/24mer/local/24mer.png","available"
"25mer","25","8","8","-8","results/ground_folds/25mer/best_overall.json","","results/ground_folds/25mer/fold.png","results/ground_folds/25mer/fold.pdf","results/ground_folds/25mer/command_relative.txt","results/ground_folds/25mer/metadata.json","results/ground_folds/25mer/summary.csv","runs/25mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_24tr_60k/best_overall.json","runs/25mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/25mer_pairwise_L7_hp1p0.json","runs/25mer/local/25mer.png","available"
"36mer","36","14","14","-14","results/ground_folds/36mer/best_overall.json","","results/ground_folds/36mer/fold.png","results/ground_folds/36mer/fold.pdf","results/ground_folds/36mer/command_relative.txt","results/ground_folds/36mer/metadata.json","results/ground_folds/36mer/summary.csv","runs/36mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_32tr_100k/best_overall.json","runs/36mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/36mer_pairwise_L8_hp1p4.json","runs/36mer/local/36mer.png","available"
"48mer","48","23","23","-23","results/ground_folds/48mer/best_overall.json","","results/ground_folds/48mer/fold.png","results/ground_folds/48mer/fold.pdf","results/ground_folds/48mer/command_relative.txt","results/ground_folds/48mer/metadata.json","results/ground_folds/48mer/summary.csv","runs/48mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_64tr_500k/best_overall.json","runs/48mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/48mer_pairwise_L11_hp1p4.json","runs/48mer/local/48mer.png","available"
"50mer","50","21","21","-21","results/ground_folds/50mer/best_overall.json","","results/ground_folds/50mer/fold.png","results/ground_folds/50mer/fold.pdf","results/ground_folds/50mer/command_relative.txt","results/ground_folds/50mer/metadata.json","results/ground_folds/50mer/summary.csv","runs/50mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_64tr_300k/best_overall.json","runs/50mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/50mer_pairwise_L11_hp3p2.json","runs/50mer/local/50mer.png","available"
"60mer","60","36","36","-36","results/ground_folds/60mer/best_overall.json","results/ground_folds/60mer/warm_start_best.json","results/ground_folds/60mer/fold.png","results/ground_folds/60mer/fold.pdf","results/ground_folds/60mer/command_relative.txt","results/ground_folds/60mer/metadata.json","results/ground_folds/60mer/summary.csv","runs/60mer/local/Final_run/fix7_pairwise_targetstop_runtime_reduced/iter03_stage3_selfwarm_256tr_2M_targetstop_retry/best_overall.json","runs/60mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/60mer_pairwise_L9_hp1p4.json","runs/60mer/local/60mer.png","available"
"64mer","64","42","42","-42","results/ground_folds/64mer/best_overall.json","","results/ground_folds/64mer/fold.png","results/ground_folds/64mer/fold.pdf","results/ground_folds/64mer/command_relative.txt","results/ground_folds/64mer/metadata.json","results/ground_folds/64mer/summary.csv","runs/64mer/local/Final_run/fix7_pairwise_targetstop_runtime_reduced/iter04_fallback_nowarm_256tr_1p5M_targetstop/best_overall.json","runs/64mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/64mer_pairwise_L10_hp2p5.json","runs/64mer/local/64mer.png","available"
"85mer","85","53","53","-53","results/ground_folds/85mer/best_overall.json","results/ground_folds/85mer/warm_start_best.json","results/ground_folds/85mer/fold.png","results/ground_folds/85mer/fold.pdf","results/ground_folds/85mer/command_relative.txt","results/ground_folds/85mer/metadata.json","results/ground_folds/85mer/summary.csv","runs/85mer/local/Final_run/fix7_istrail_long_16w_big_budget/iter01_warm256_2M_16w/best_overall.json","runs/85mer/local/Final_run/fix7_istrail_long_warm_budget/qubos/85mer_pairwise_L12_hp3p0.json","runs/85mer/local/Final_run/fix7_istrail_long_16w_big_budget/iter01_warm256_2M_16w/85mer_16w_big_budget_best_fold.png","available"
"100merA","100","48","48","-48","results/ground_folds/100merA/best_overall.json","results/ground_folds/100merA/warm_start_best.json","results/ground_folds/100merA/fold.png","results/ground_folds/100merA/fold.pdf","results/ground_folds/100merA/command_relative.txt","results/ground_folds/100merA/metadata.json","results/ground_folds/100merA/summary.csv","runs/100merA/local/Final_run/fix7_istrail_100mer_L13_target_refine/iter02_L13_hp4_warm768_3M_16w_retry/best_overall.json","runs/100merA/local/Final_run/fix7_istrail_100mer_L13_target_refine/qubos/100merA_pairwise_L13_hp4p0.json","runs/100merA/local/Final_run/fix7_istrail_100mer_L13_target_refine/iter02_L13_hp4_warm768_3M_16w_retry/100merA_L13_target_refine_best_fold.png","available"
"100merB","100","50","50","-50","results/ground_folds/100merB/best_overall.json","results/ground_folds/100merB/warm_start_best.json","results/ground_folds/100merB/fold.png","results/ground_folds/100merB/fold.pdf","results/ground_folds/100merB/command_relative.txt","results/ground_folds/100merB/metadata.json","results/ground_folds/100merB/summary.csv","runs/100merB/local/Final_run/fix7_istrail_100mer_L13_target_refine/iter02_L13_hp4_warm768_3M_16w_retry/best_overall.json","runs/100merB/local/Final_run/fix7_istrail_100mer_L13_target_refine/qubos/100merB_pairwise_L13_hp4p0.json","runs/100merB/local/Final_run/fix7_istrail_100mer_L13_target_refine/iter02_L13_hp4_warm768_3M_16w_retry/100merB_L13_target_refine_best_fold.png","available"




